Curs,Codi centre,Denominació completa,"Codi naturalesa (1,2)",Nom naturalesa,Codi titularitat,Nom titularitat,Codi delegació,Nom delegació,Codi comarca,Nom comarca,Codi municipi_5,Nom municipi,Codi ensenyament,Nom ensenyament,Torn,Nivell,Nombre grups,Nombre places,Places ofertades a la preinscripció
2024/2025,43004803,Institut Andreu Nin,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43163,El Vendrell,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,0
2024/2025,43004803,Institut Andreu Nin,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43163,El Vendrell,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,10
2024/2025,43004797,Institut Baix Penedès,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43163,El Vendrell,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,3,105,9
2024/2025,43004797,Institut Baix Penedès,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43163,El Vendrell,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,3,105,105
2024/2025,43004797,Institut Baix Penedès,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43163,El Vendrell,BATXLOE 1000,Batxillerat d'arts,Matí i tarda,2,1,35,5
2024/2025,43004797,Institut Baix Penedès,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43163,El Vendrell,BATXLOE 1000,Batxillerat d'arts,Matí i tarda,1,1,35,35
2024/2025,43004611,Institut Jaume Huguet,1,Públic,01,Departament d'Educació,0143,Tarragona,01,Alt Camp,43161,Valls,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,0
2024/2025,43004611,Institut Jaume Huguet,1,Públic,01,Departament d'Educació,0143,Tarragona,01,Alt Camp,43161,Valls,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,21
2024/2025,43004608,Institut Narcís Oller,1,Públic,01,Departament d'Educació,0143,Tarragona,01,Alt Camp,43161,Valls,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,3,105,5
2024/2025,43004608,Institut Narcís Oller,1,Públic,01,Departament d'Educació,0143,Tarragona,01,Alt Camp,43161,Valls,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,3,105,46
2024/2025,43004608,Institut Narcís Oller,1,Públic,01,Departament d'Educació,0143,Tarragona,01,Alt Camp,43161,Valls,BATXLOE 1000,Batxillerat d'arts,Matí i tarda,2,15,53,17
2024/2025,43004608,Institut Narcís Oller,1,Públic,01,Departament d'Educació,0143,Tarragona,01,Alt Camp,43161,Valls,BATXLOE 1000,Batxillerat d'arts,Matí i tarda,1,15,53,46
2024/2025,43004438,Institut Dertosa,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,09,Baix Ebre,43155,Tortosa,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,4,140,13
